127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/images/background.jpg, HTTP/1.1, 200, 0.284000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/images/gplus-32.png, HTTP/1.1, 200, 0.255000
127.0.0.1, 2017-03-02 12:20:31, GET, /OptimizerMessagingQueue/static/images/facebook.png, HTTP/1.1, 200, 0.255000
127.0.0.1, 2017-03-02 12:20:32, GET, /OptimizerMessagingQueue/static/images/favicon.ico, HTTP/1.1, 200, 0.014000
127.0.0.1, 2017-03-06 10:42:01, GET, /, HTTP/1.1, 303, 0.024000
127.0.0.1, 2017-03-06 10:42:01, GET, /welcome/default/index, HTTP/1.1, 404, 0.004000
127.0.0.1, 2017-03-06 10:42:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2017-03-06 10:42:17, GET, /OptimizerWebView/default/index, HTTP/1.1, 200, 1.748000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.275000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.248000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.248000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/js/calendar.js, HTTP/1.1, 200, 0.245000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/js/jquery.js, HTTP/1.1, 200, 0.611000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/js/web2py.js, HTTP/1.1, 200, 0.346000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.310000
127.0.0.1, 2017-03-06 10:42:18, GET, /OptimizerWebView/static/js/share.js, HTTP/1.1, 200, 0.213000
